Idx,Note,Name,Id_Rssd,Parent,Loc,Type,Tier,label,lat,lng
1,,HSBC NORTH AMERICA HOLDINGS INC.,3232316,,NEW YORK NY,Intermediate Holding Companies,1,"New York, NY, USA",40.7127837,-74.0059413
2,,HSBC USA INC.,1020201,1,NEW YORK NY,Financial Holding Company - Domestic,2,"New York, NY, USA",40.7127837,-74.0059413
3,,TIMBERLINK SETTLEMENT SERVICES (USA) INC.,3281369,2,BUFFALO NY,Finance Company,3,"Buffalo, NY, USA",42.8864468,-78.8783689
4,,"HSBC TRUST COMPANY (DELAWARE), NATIONAL ASSOCIATION",3357620,2,WILMINGTON DE,National Bank,3,"Wilmington, DE, USA",39.7390721,-75.5397878
5,,"HSBC BANK USA, NATIONAL ASSOCIATION",413208,2,MC LEAN VA,National Bank,3,"McLean, VA, USA",38.9338676,-77.1772604
6,,HSBC PRIVATE BANK INTERNATIONAL,569039,5,MIAMI FL,Edge Corporation - Banking,4,"Miami, FL, USA",25.7616798,-80.1917902
7,+,HSBC INVESTMENTS (BAHAMAS) LIMITED,1171756,6,"NASSAU BAHAMAS, THE",International Nonbank Sub of Domestic Entities,5,"Nassau, The Bahamas",25.0479835,-77.355413
8,,HSBC GLOBAL ASSET MANAGEMENT (USA) INC.,1150265,5,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
9,+,HSBC INVESTMENTS (BAHAMAS) LIMITED,1171756,5,"NASSAU BAHAMAS, THE",International Nonbank Sub of Domestic Entities,4,"Nassau, The Bahamas",25.0479835,-77.355413
10,,HSBC MORTGAGE CORPORATION (USA),1382226,5,DEPEW NY,Domestic Entity Other,4,"Depew, NY, USA",42.9039476,-78.6922515
11,,HSBC REALTY CREDIT CORPORATION (USA),1451319,5,BUFFALO NY,Domestic Entity Other,4,"Buffalo, NY, USA",42.8864468,-78.8783689
12,,HSBC LAND TITLE AGENCY (USA) LLC,3164097,11,COMMACK NY,Domestic Entity Other,5,"Commack, NY, USA",40.8428759,-73.2928943
13,,HSBC OVERSEAS INVESTMENTS CORPORATION (NEW YORK),2242756,5,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
14,,HSBC INTERNATIONAL FINANCE CORPORATION (DELAWARE),753276,13,WILMINGTON DE,Edge Corporation - Investment,5,"Wilmington, DE, USA",39.7390721,-75.5397878
15,+,HSBC INVESTMENTS (BAHAMAS) LIMITED,1171756,14,"NASSAU BAHAMAS, THE",International Nonbank Sub of Domestic Entities,6,"Nassau, The Bahamas",25.0479835,-77.355413
16,,HSBC INSURANCE AGENCY (USA) INC.,2787958,5,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
17,,HSBC AFS (USA) LLC,3335299,5,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
18,,SOMERS & CO.,2226765,17,NEW YORK NY,Domestic Entity Other,5,"New York, NY, USA",40.7127837,-74.0059413
19,,"HSBC COLUMBIA FUNDING, LLC",3464256,5,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
20,,R/CLIP CORP.,1035009,2,WILMINGTON DE,Domestic Entity Other,3,"Wilmington, DE, USA",39.7390721,-75.5397878
21,,GILLER LTD.,1662786,2,BUFFALO NY,Domestic Entity Other,3,"Buffalo, NY, USA",42.8864468,-78.8783689
22,,REPUBLIC OVERSEAS CAPITAL CORPORATION,3071131,2,NEW YORK NY,Domestic Entity Other,3,"New York, NY, USA",40.7127837,-74.0059413
23,,HSBC MARKETS (USA) INC.,1032325,1,NEW YORK NY,Domestic Entity Other,2,"New York, NY, USA",40.7127837,-74.0059413
24,,HSBC SECURITIES (USA) INC.,1032389,23,NEW YORK NY,Securities Broker/Dealer,3,"New York, NY, USA",40.7127837,-74.0059413
25,,"HSBC CAPITAL (USA), INC.",1646777,23,NEW YORK NY,Domestic Entity Other,3,"New York, NY, USA",40.7127837,-74.0059413
26,,CC&H HOLDINGS LLC,3071328,25,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
27,,HSBC PRIVATE EQUITY ADVISORS LLC,3767247,25,NEW YORK NY,Domestic Entity Other,4,"New York, NY, USA",40.7127837,-74.0059413
28,,"GPIF CO-INVESTMENTS, LLC",3934487,25,INDIANAPOLIS IN,Domestic Entity Other,4,"Indianapolis, IN, USA",39.768403,-86.158068
29,,HSBC SECURITIES SERVICES (USA) INC.,3083264,23,JERSEY CITY NJ,Domestic Entity Other,3,"Jersey City, NJ, USA",40.7281575,-74.0776417
30,,HASCO NIM RESIDUAL (USA) TRUST,3434811,23,NEW YORK NY,Domestic Entity Other,3,"New York, NY, USA",40.7127837,-74.0059413
31,,HSI ASSET SECURITIZATION CORPORATION,3434848,23,NEW YORK NY,Domestic Entity Other,3,"New York, NY, USA",40.7127837,-74.0059413
32,,HSBC FINANCE CORPORATION,1251881,1,METTAWA IL,Domestic Entity Other,2,"Mettawa, IL, USA",42.2333571,-87.9259058
33,,BENEFICIAL COMPANY LLC,1116298,32,METTAWA IL,Domestic Entity Other,3,"Mettawa, IL, USA",42.2333571,-87.9259058
34,,BENEFICIAL FLORIDA INC.,1881149,33,METTAWA IL,Finance Company,4,"Mettawa, IL, USA",42.2333571,-87.9259058
35,,BENEFICIAL KENTUCKY INC.,1881224,33,METTAWA IL,Finance Company,4,"Mettawa, IL, USA",42.2333571,-87.9259058
36,,BENEFICIAL LOUISIANA INC.,1881233,33,METTAWA IL,Finance Company,4,"Mettawa, IL, USA",42.2333571,-87.9259058
